zip	lat	lon	state	county	city
43136	39.80157	-82.81543	OH	Fairfield	Lithopolis
43137	39.80486	-82.98694	OH	Franklin	Lockbourne
43138	39.52225	-82.41335	OH	Hocking	Logan
43140	39.88406	-83.42946	OH	Madison	London
43142	39.59289	-83.58777	OH	Fayette	Milledgeville
43143	39.71801	-83.29672	OH	Madison	Mount Sterling
43144	39.52797	-82.19155	OH	Hocking	Murray City
43145	39.56281	-83.25940	OH	Pickaway	New Holland
43146	39.77293	-83.14333	OH	Pickaway	Orient
43147	39.89820	-82.74227	OH	Fairfield	Pickerington
43148	39.81809	-82.49887	OH	Fairfield	Pleasantville
43149	39.53742	-82.57188	OH	Hocking	Rockbridge
43150	39.77446	-82.40565	OH	Fairfield	Rushville
43151	39.73317	-83.47661	OH	Madison	Sedalia
43152	39.39211	-82.61433	OH	Hocking	South Bloomingville
43153	39.74071	-83.56781	OH	Madison	South Solon
43154	39.60327	-82.82622	OH	Fairfield	Stoutsville
43155	39.62510	-82.52618	OH	Fairfield	Sugar Grove
43156	39.55389	-82.77621	OH	Pickaway	Tarlton
43157	39.84303	-82.54675	OH	Fairfield	Thurston
43158	39.44968	-82.35546	OH	Hocking	Union Furnace
43160	39.52871	-83.43917	OH	Fayette	Washington Court House
43162	39.94369	-83.30633	OH	Madison	West Jefferson
43164	39.58349	-83.12009	OH	Pickaway	Williamsport
43194	39.80927	-82.97473	OH	Franklin	Lockbourne
43195	39.86000	-82.89219	OH	Franklin	Groveport
43199	39.85969	-82.89441	OH	Franklin	Groveport
43201	39.99114	-83.00056	OH	Franklin	Columbus
43202	40.02126	-83.01394	OH	Franklin	Columbus
43203	39.97290	-82.96922	OH	Franklin	Columbus
43204	39.96135	-83.08052	OH	Franklin	Columbus
43205	39.95750	-82.96244	OH	Franklin	Columbus
43206	39.94205	-82.97346	OH	Franklin	Columbus
43207	39.89599	-82.96392	OH	Franklin	Columbus
43209	39.95462	-82.92992	OH	Franklin	Columbus
43210	40.00487	-83.02182	OH	Franklin	Columbus
43211	40.01163	-82.97244	OH	Franklin	Columbus
43212	39.98763	-83.04215	OH	Franklin	Columbus
43213	39.97117	-82.86746	OH	Franklin	Columbus
43214	40.05230	-83.01996	OH	Franklin	Columbus
43215	39.96633	-83.01262	OH	Franklin	Columbus
43216	39.97419	-82.89823	OH	Franklin	Columbus
43217	39.81667	-82.93279	OH	Franklin	Columbus
43218	40.01765	-82.92367	OH	Franklin	Columbus
43219	40.00774	-82.92233	OH	Franklin	Columbus
43220	40.04847	-83.07161	OH	Franklin	Columbus
43221	40.02334	-83.07744	OH	Franklin	Columbus
43222	39.96100	-83.03581	OH	Franklin	Columbus
43223	39.92636	-83.03395	OH	Franklin	Columbus
43224	40.04256	-82.96640	OH	Franklin	Columbus
43226	39.97857	-83.16337	OH	Franklin	Columbus
43227	39.94511	-82.88858	OH	Franklin	Columbus
43228	39.96367	-83.12478	OH	Franklin	Columbus
43229	40.08569	-82.97636	OH	Franklin	Columbus
43230	40.03648	-82.87057	OH	Franklin	Columbus
43231	40.07843	-82.93914	OH	Franklin	Columbus
43232	39.92189	-82.87053	OH	Franklin	Columbus
43234	40.10298	-83.05599	OH	Franklin	Columbus
43235	40.10193	-83.05442	OH	Franklin	Columbus
43236	40.00006	-82.88796	OH	Franklin	Columbus
43240	40.14501	-82.98209	OH	Delaware	Columbus
43251	39.95972	-83.02080	OH	Franklin	Columbus
43260	39.96287	-82.99842	OH	Franklin	Columbus
43266	40.05642	-82.96820	OH	Franklin	Columbus
43268	39.96440	-82.99432	OH	Franklin	Columbus
43270	39.96497	-83.00032	OH	Franklin	Columbus
43271	39.97093	-83.02627	OH	Franklin	Columbus
